Bleaching,Ocean,Year,Depth,Storms,HumanImpact,Siltation,Dynamite,Poison,Sewage,Industrial,Commercial
0,Pacific,2003,3.2,1,2,2,2,2,1,2,3
0,Pacific,2003,4.7,1,2,2,2,2,1,2,3
0,Pacific,2003,3.0,1,2,2,2,2,0,0,3
0,Pacific,2003,3.5,1,2,2,2,2,1,2,3
0,Pacific,2003,4.0,1,2,2,2,2,1,2,3
0,Pacific,2003,3.0,1,2,2,2,2,1,2,3
0,Pacific,2003,5.0,1,2,2,2,2,1,2,3
0,Pacific,2003,3.5,1,2,2,2,2,1,2,3
0,Pacific,2003,5.0,1,2,2,2,2,1,2,3
0,Pacific,2003,5.0,1,2,2,2,2,1,2,3
0,Indian,2001,3.0,1,1,0,1,1,1,1,0
0,Indian,2001,10.0,1,1,0,1,1,1,1,0
0,Indian,2001,3.0,1,2,0,1,1,2,0,0
0,Indian,2001,10.0,1,2,0,1,1,2,0,0
0,Indian,2001,3.0,1,2,0,1,1,2,0,0
0,Indian,2001,10.0,1,2,0,1,1,2,0,0
0,Pacific,2002,2.0,1,1,0,0,0,0,0,0
0,Pacific,2002,6.0,1,1,0,0,0,0,0,0
0,Pacific,2002,7.0,0,1,0,1,1,1,0,0
0,Pacific,2002,4.0,0,2,0,1,1,0,0,0
0,Pacific,2002,6.5,0,2,0,1,1,0,0,0
0,Pacific,2002,5.0,0,1,0,1,1,1,0,0
1,Pacific,2000,4.0,1,2,0,2,0,2,0,0
0,Pacific,2002,2.0,0,2,0,1,1,0,0,0
0,Pacific,2002,3.0,0,2,0,1,1,0,0,0
0,Pacific,2000,6.0,1,2,0,3,0,2,0,0
0,Pacific,2000,6.0,1,2,0,3,0,2,0,0
0,Pacific,2000,3.0,1,2,0,2,0,2,0,0
1,Indian,2001,10.0,0,1,0,0,0,0,0,0
1,Pacific,1998,3.0,0,2,0,2,2,0,0,0
0,Atlantic,1997,3.0,0,1,0,0,1,0,0,0
0,Atlantic,1997,10.0,0,1,0,0,1,0,0,0
0,Atlantic,1997,3.0,0,1,0,0,0,0,0,0
0,Atlantic,1998,3.0,0,2,0,0,0,1,0,0
0,Atlantic,1998,3.0,0,1,0,0,1,1,0,0
0,Atlantic,1998,10.0,0,1,0,0,1,1,0,0
0,Indian,1997,3.0,0,3,0,3,0,0,0,0
0,Indian,1997,10.0,0,3,0,3,0,0,0,0
0,Indian,1997,3.0,0,1,0,0,0,1,0,0
0,Indian,1997,10.0,0,1,0,0,0,1,0,0
1,Indian,1998,5.0,0,1,0,1,0,1,0,0
1,Indian,1998,10.0,0,1,0,1,0,1,0,0
1,Indian,1998,5.0,0,1,0,1,0,0,0,0
1,Indian,1998,10.0,0,1,0,1,0,0,0,0
0,Pacific,2006,3.0,0,1,1,0,1,1,0,1
0,Pacific,2006,10.0,0,1,1,0,1,1,0,1
0,Pacific,2006,3.0,0,1,1,0,1,1,0,1
0,Pacific,2006,10.0,0,1,1,0,1,1,0,1
0,Indian,2000,3.0,0,1,0,0,1,1,0,0
0,Indian,2000,10.0,0,1,0,0,1,1,0,0
0,Indian,2001,3.0,0,2,0,0,0,0,0,0
0,Indian,2001,10.0,0,2,0,0,0,0,0,0
0,Pacific,2003,3.0,1,1,0,0,1,0,0,0
0,Pacific,2003,10.0,1,1,0,0,1,0,0,0
0,Pacific,2006,3.0,0,1,1,0,1,1,0,1
0,Pacific,2006,10.0,0,1,1,0,1,1,0,1
0,Pacific,2006,3.0,0,1,1,0,1,1,0,1
0,Pacific,2006,10.0,0,1,1,0,1,1,0,1
0,Pacific,2006,3.0,1,1,1,0,1,1,0,1
0,Pacific,2006,10.0,1,1,1,0,1,1,0,1
0,Pacific,2006,3.0,1,1,1,0,1,1,0,1
0,Pacific,2006,10.0,1,1,1,0,1,1,0,1
0,Pacific,2000,3.0,0,2,0,2,1,0,0,0
0,Pacific,2000,10.0,0,2,0,2,1,0,0,0
0,Indian,2001,3.0,0,0,0,0,0,0,0,0
0,Indian,2001,10.0,0,0,0,0,0,0,0,0
0,Pacific,2005,3.0,1,2,1,0,0,1,0,2
0,Pacific,2005,10.0,1,2,1,0,0,1,0,2
0,Pacific,2006,3.0,1,2,1,0,0,1,0,2
0,Pacific,2006,10.0,1,2,1,0,0,1,0,2
0,Pacific,2008,3.0,0,0,0,1,0,1,0,1
0,Pacific,2008,10.0,0,0,0,1,0,1,0,1
0,Pacific,2006,3.0,0,1,1,0,1,1,0,1
